type,fatalities,country,cat,year
Antonov An-12B,,,U1,
Antonov An-12B,,,U1,
Antonov An-12B,,,U1,
Antonov An-12BK,,Russia,A1,
Antonov An-12BP,0,Eritrea,A1,
Antonov An-12BP,,Russia,U1,
Antonov An-2,,Russia,A1,
Antonov An-2,0,Russia,A2,
Antonov An-24B,0,Russia,A1,
Antonov An-26,0,Russia,O1,
Antonov An-26,0,Russia,A1,
Antonov An-26,0,Russia,A1,
Antonov An-26,,Libya,A1,
Antonov An-2R,0,Poland,O1,
Antonov An-2R,,,U1,
Antonov An-2T,0,,O1,
Antonov An-2T,0,,O1,
Antonov An-2T,0,,O1,
Antonov An-2T,0,,O1,
Antonov An-2T,0,,O1,
Antonov An-32,0,India,A1,
Antonov An-32A,,,A1,
Avia 14,0,Bulgaria,O1,
BN-2A Islander,,,U1,
BN-2A Islander,,,U1,
BN-2A Islander,0,Bahamas,A1,
BN-2A Islander,,,U1,
BN-2A-20 Islander,,Zimbabwe,U1,
BN-2A-21 Islander,,,U1,
BN-2A-21 Islander,,,U1,
BN-2A-21 Islander,,Mauritania,U1,
BN-2A-21 Islander,,,U1,
BN-2A-26 Islander,,Cyprus,U1,
BN-2A-8 Islander,,,U1,
BN-2A-8 Islander,,,U1,
BN-2A-8 Islander,0,,U1,
BN-2A-8 Islander,,Mexico,U1,
BN-2A-8 Islander,,,U1,
BN-2A-8 Islander,,New Caledonia,U1,
BN-2B-21 Islander,,,U1,
Douglas C-47A (DC-3),0,Bahamas,A1,
Douglas C-47D (DC-3),,,U1,
Fairchild C-82A Packet,,Honduras,A1,
Fairchild SA227-DC Metro 23 (C-26B),,Peru,A1,
Grumman G-159 Gulfstream I,0,Kenya,A1,
Ilyushin Il-12,,Russia,A1,
Ilyushin Il-14T,0,Antarctica,A1,
Ilyushin Il-76,,Latvia,A1,
Ilyushin Il-76M,,,U1,
Ilyushin Il-76M,0,Russia,A1,
Ilyushin Il-76M,0,Russia,A1,
Ilyushin Il-76TD,0,Yemen,O1,
Ilyushin Il-78,0,Ukraine,O1,
Let L-410T,,Libya,U1,
Let L-410UVP,,Honduras,A1,
Lisunov Li-2,,Russia,A1,
Lisunov Li-2,,Russia,A1,
Lisunov Li-2F,0,Poland,O1,
SNCASO S.O.94R Corse II,0,France,A1,
Super Avia 14,,Bulgaria,A1,
Yakovlev Yak-40EC,,Liberia,U1,
Caproni Ca.48,14,Italy,A1,1919
Felixstowe Fury,1,U.K.,A1,1919
Handley Page O/7,0,South Africa,A1,1920
Handley Page O/400,0,Sudan,A1,1920
Handley Page O/400,0,Sweden,A1,1920
Handley Page O/400,4,U.K.,A1,1920
Aeromarine 75,0,Cuba,O1,1921
Handley Page O/7,0,India,O1,1921
Caproni Ca.60 Noviplano,0,Italy,A1,1921
Farman F.60 Goliath,2,France,A1,1921
Farman F.60 Goliath,0,Belgium,O1,1921
Farman F.60 Goliath,0,Belgium,O1,1921
Handley Page O/10,,France,U1,1921
Handley Page O/10,0,France,A1,1922
Handley Page O/7,14,China,A1,1922
Farman F.60 Goliath,5,France,A1,1922
Aeromarine 75,4,Atlantic Ocean,A1,1923
Farman F.60 Goliath,6,France,A1,1923
Farman F.60 Goliath,0,France,A1,1923
Handley Page W.8,0,France,A1,1923
Farman F.60 Goliath,0,France,A1,1923
Farman F.60 Goliath,1,U.K.,A1,1923
Farman F.60 Goliath,,U.K.,A1,1923
Aeromarine 75,0,Cuba,O1,1923
Farman F.60 Goliath,,U.K.,A1,1924
Farman F.60 Goliath,0,U.K.,A2,1924
Farman F.61 Goliath,0,Netherlands,A1,1924
Farman F.60 Goliath,3,U.K.,A1,1925
Farman F.60 Goliath,0,France,A2,1925
Bl̩riot 155,4,U.K.,A1,1926
Bl̩riot 155,7,U.K.,A1,1926
Handley Page W.10,0,U.K.,A1,1926
Junkers G.24,,Germany,A1,1926
Farman F.61 Goliath,2,Atlantic Ocean,A1,1927
Fokker F.VIII,1,U.K.,A1,1927
Handley Page W.8b,0,France,A1,1928
Farman F.60 Goliath,2,U.K.,A1,1928
Fokker F.VIII,0,Netherlands,A1,1928
Junkers G.24,0,Germany,A1,1928
Ford 4-AT-A Tri-Motor,2,USA,A1,1928
Farman F.63bis Goliath,3,Germany,A1,1928
Ford 4-AT-B Tri-Motor,7,USA,A1,1928
Junkers G.31de,0,Germany,A1,1928
Ford 4-AT-A Tri-Motor,0,USA,A1,1928
Ford 4-AT-B Tri-Motor,3,USA,A1,1928
Ford 4-AT-C Tri-Motor,5,USA,A1,1928
Junkers G.31fi,3,Germany,A1,1928
Ford 4-AT-A Tri-Motor,0,USA,A1,1928
Junkers G.31ce,,Germany,A1,1928
Ford 4-AT-A Tri-Motor,0,USA,A1,1929
Junkers G.24,,France,A1,1929
Ford 4-AT-B Tri-Motor,14,USA,A1,1929
Ford 5-AT-B Tri-Motor,4,USA,A1,1929
Dornier Do R4 Superwal,0,Italy,O1,1929
Ford 5-AT-B Tri-Motor,6,USA,A1,1929
Vickers 170 Vanguard,2,U.K.,A1,1929
Farman F.63bis Goliath,0,U.K.,A1,1929
Fokker F.10A,0,USA,O1,1929
Fokker F.10A,2,Cuba,A1,1929
Handley Page W.10,7,U.K.,A1,1929
Ford 5-AT-A Tri-Motor,1,USA,A1,1929
Junkers G.24li,0,Germany,A1,1929
Ford 5-AT-B Tri-Motor,8,USA,A1,1929
DH.66 Hercules,3,Iran,A1,1929
Rohrbach Ro X Romar I,0,Germany,A1,1929
Sabca (Handley Page) W.8B,0,Belgium,A1,1929
Short S.8/1 Calcutta,7,Italy,A1,1929
Farman F.63bis Goliath,,,U1,1929
Junkers G.24bi,7,U.K.,A1,1929
Rohrbach Ro X Romar I,0,Germany,A1,1929
Fokker F.32,0,USA,A1,1929
Curtiss B-2 Condor (Condor 18),1,USA,A1,1929
Farman F.180T,0,France,O1,1929
Fokker F.10,0,USA,A1,1929
Ford 5-AT-C Tri-Motor,16,USA,A1,1930
Junkers R-42 (G.24),2,Chile,A1,1930
Ford 4-AT-A Tri-Motor,0,USA,A1,1930
Farman F.63bis Goliath,2,U.K.,A1,1930
DH.66 Hercules,0,Israel,A1,1930
Fokker F.10A,3,USA,A1,1930
Ford 4-AT-A Tri-Motor,0,Argentina,A1,1930
Ford 5-AT-C Tri-Motor,,Argentina,A1,1930
Handley Page W.9a Hampstead,,P.N. Guinea,A1,1930
Ford 5-AT-B Tri-Motor,1,USA,A1,1930
Ford 5-AT-A Tri-Motor,0,USA,O1,1930
Fokker F.10A,0,USA,O1,1930
Fokker F.10A,0,USA,O1,1930
Fokker F.10A,0,USA,O1,1930
Fokker F.10A,0,USA,O1,1930
Fokker F.10,0,USA,O1,1930
Fokker F.10,0,USA,O1,1930
Farman F.63bis Goliath,1,Netherlands,A1,1930
Curtiss Condor 18,,USA,A1,1930
Ford JR-3 (5-AT-C) Tri-Motor,0,Nicaragua,A1,1930
Ford 5-AT-C Tri-Motor,12,Czech Rep.,A1,1930
Fokker F.10A,0,Dominican Rep.,O1,1930
Handley Page W.8g,3,France,A1,1930
Junkers G.24,1,Brazil,A1,1930
Ford 4-AT-B Tri-Motor,0,USA,O1,1930
Dornier Do R4 Superwal,6,Mediterranean Sea,A1,1930
Fokker F.10A,,USA,U1,1930
Ford 5-AT-C Tri-Motor,2,USA,A1,1930
Ford 4-AT-E Tri-Motor,,USA,A1,1930
Fokker F.10,0,USA,A1,1930
Junkers JuG-1W (G.24),,Russia,A1,1930
Ford 5-AT-B Tri-Motor,0,USA,A1,1931
Ford Tri-Motor,0,Peru,H2,1931
Fokker F.10A,8,USA,A1,1931
Ford 5-AT-C Tri-Motor,0,Chile,A1,1931
Ford 5-AT-C Tri-Motor,0,India,A1,1931
Junkers F.24ko (G.24),0,France,A2,1931
DH.66 Hercules,0,Indonesia,A1,1931
A.W. Argosy II,0,U.K.,A1,1931
Ford 5-AT-C Tri-Motor,0,USA,A1,1931
Junkers G.24,0,Sweden,O1,1931
A.W. Argosy IA,0,Egypt,A1,1931
Fokker F.IX,0,Netherlands,A1,1931
Fokker F.10A,,USA,A1,1931
Ford 5-AT-B Tri-Motor,6,USA,A1,1931
Ford 5-AT-B Tri-Motor,0,USA,A1,1931
Sikorsky S.41B,1,USA,A1,1931
Ford XB-906 (Tri-Motor),2,USA,A1,1931
Ford 5-AT-C Tri-Motor,0,USA,A1,1931
Ford 4-AT-E Tri-Motor,1,USA,A1,1931
Fokker F.10A,,USA,O1,1932
Ford 4-AT-B Tri-Motor,0,USA,O1,1932
Fokker F.10A,7,USA,A1,1932
Junkers PS-5 (G.24),,Russia,A1,1932
Boeing 80A,0,USA,A1,1932
Ford 5-AT-C Tri-Motor,9,Chile,A1,1932
Junkers Ju-52/3mce,0,Germany,A2,1932
Junkers G.24,2,Netherlands,A1,1932
Fokker F.10A,3,USA,A1,1932
Lior̩ et Olivier 212,1,U.K.,A1,1932
Ford 5-AT-B Tri-Motor,0,Honduras,A1,1932
Ford 5-AT-D Tri-Motor,2,Bolivia,A1,1932
Fokker F.10A,,USA,U1,1932
Ford 5-AT-B Tri-Motor,2,USA,A1,1932
Lior̩ et Olivier 213,0,France,A1,1933
Curtiss Condor 18,2,USA,A1,1933
Ford 5-AT-D Tri-Motor,2,USA,A1,1933
Ford 5-AT-B Tri-Motor,0,USA,A1,1933
Ford JR-3 (5-AT-C) Tri-Motor,0,USA,A1,1933
A.W. Argosy II,15,Belgium,A1,1933
Ford 4-AT-B Tri-Motor,7,USA,A1,1933
Junkers Ju-52/1mcai,,Germany,A1,1933
Ford 4-AT-E Tri-Motor,0,USA,O1,1933
Dornier Do R4 Superwal,0,Spain,A1,1933
Junkers PS-5 (G.24),,Russia,U1,1933
Ford 5-AT-B Tri-Motor,5,USA,A1,1933
Curtiss T-32 Condor II,0,USA,A1,1933
Ford 4-AT-B Tri-Motor,3,Nicaragua,A1,1933
Lior̩ et Olivier 213,0,France,A1,1933
Kalinin K-7,15,Ukraine,A1,1933
Fokker F.10A,,Mexico,A1,1933
Dewoitine D.332,10,France,A1,1934
Ford 4-AT-B Tri-Motor,1,Honduras,A1,1934
Junkers F.24k2ay (G.24),,Poland,A1,1934
Ford 5-AT-C Tri-Motor,4,Peru,A1,1934
Lior̩ et Olivier 213,2,U.K.,A1,1934
Curtiss T-32 Condor II,7,USA,A1,1934
Ford C-4A (5-AT-D) Tri-Motor,0,USA,A1,1934
Ford 5-AT-C Tri-Motor,5,Argentina,A1,1934
Ford 4-AT-B Tri-Motor,0,USA,O1,1934
Ford 4-AT-D Tri-Motor,0,USA,A1,1934
Curtiss AT-32C Condor II,12,Germany,A1,1934
Junkers PS-5 (G.24),,Russia,A1,1934
Ford 5-AT-D Tri-Motor,0,USA,A1,1934
Handley Page W.10,4,U.K.,A1,1934
Fokker F.10A,,Mexico,A1,1934
DH.86 Express,11,Australia,A1,1934
Ford 4-AT-E Tri-Motor,0,USA,A1,1934
Ford 4-AT-.  Tri-Motor,0,Honduras,O1,1934
Junkers Ju-52/3mge,5,Poland,A1,1934
DH.86 Express,4,Australia,A1,1934
Ford 4-AT-E Tri-Motor,4,Cuba,A1,1934
Curtiss AT-32B Condor II,0,USA,A1,1934
Douglas DC-2-115A,7,Iraq,A1,1934
Curtiss T-32C Condor II,0,USA,A1,1934
Ford 4-AT-B Tri-Motor,0,Mexico,O1,1934
Curtiss T-32 Condor II,,USA,A1,1935
Junkers Ju-52/3mge,11,Poland,A1,1935
Fokker F.XII,7,Germany,A1,1935
Consolidated 16 Commodore,0,USA,O1,1935
Junkers Ju-52/3mho,3,Germany,A1,1935
Ford 4-AT-B Tri-Motor,0,USA,A1,1935
Douglas DC-2-112,5,USA,A1,1935
Ford 4-AT-.  Tri-Motor,1,Guatemala,A1,1935
Tupolev ANT-20 Maxim Gorky,44,Russia,A1,1935
Ford 4-AT-E Tri-Motor,3,USA,A1,1935
Savoia-Marchetti S-66,0,Malta,A1,1935
Ford 5-AT-B Tri-Motor,10,Colombia,A1,1935
Ford 5-AT-D Tri-Motor,7,Colombia,A1,1935
Savoia-Marchetti S-66,0,Spain,A1,1935
Fokker F.XXII,6,Netherlands,A1,1935
Douglas DC-2-115E,0,Iran,A1,1935
Douglas DC-2-115E,13,Switzerland,A1,1935
Junkers Ju-52/3m,11,Germany,A1,1935
Curtiss AT-32B Condor II,0,USA,A1,1935
Douglas DC-2-112,0,USA,A1,1935
DH.86 Express,5,Australia,A1,1935
Douglas DC-2A-127,3,USA,A1,1935
Curtiss Condor 18,1,USA,A1,1935
DH.86 Express,0,Austria,A1,1935
Ford 5-AT-C Tri-Motor,0,China,C1,1935
Boulton Paul P.71A,0,Belgium,A1,1935
Savoia-Marchetti S.73P,0,U.K.,A1,1935
Ford 5-AT-.  Tri-Motor,0,Honduras,A1,1935
Short S.17 Kent,0,Italy,O1,1935
Junkers G.24he,0,Brazil,A1,1935
DH.66 Hercules,,Uganda,A1,1935
Savoia-Marchetti S.73,11,U.K.,A1,1935
Potez 62,0,France,A1,1935
Ford 5-AT-D Tri-Motor,4,Peru,A1,1935
Short S.8 Calcutta,12,Egypt,A1,1935
Douglas DC-2-120,17,USA,A1,1936
Junkers Ju-52/3m,13,Colombia,A1,1936
Junkers Ju-52/3mce,13,Bolivia,A1,1936
Douglas DC-2-115B,0,Switzerland,A1,1936
Ford 5-AT-D Tri-Motor,0,China,A1,1936
Junkers Ju-52/3m,0,Austria,A1,1936
Ford 5-AT-B Tri-Motor,14,Mexico,A1,1936
Ford 5-AT-D Tri-Motor,0,China,A1,1936
Douglas DC-2-112,12,USA,A1,1936
Sikorsky S-42,3,Trinidad & Tobago,A2,1936
Junkers Ju-52/3m,3,Switzerland,A1,1936
Douglas DC-2-115K,0,Netherlands,A1,1936
Lior̩-et-Olivier H.242/1,0,Mediterranean Sea,A1,1936
Douglas DC-2-172,0,USA,A1,1936
Junkers G.31fo,,Germany,A1,1936
Fokker F.XXII,2,Sweden,A1,1936
Junkers Ju-52/3m,7,Norway,A1,1936
Vickers Valentia,7,Egypt,A1,1936
Curtiss Condor 18,0,USA,O1,1936
Junkers Ju-52/3m,2,Germany,A1,1936
Junkers G.38di,0,Germany,A1,1936
Curtiss T-32C Condor II,0,Chile,A1,1936
Ford 4-AT-B Tri-Motor,0,USA,A1,1936
DH.86 Express,2,Germany,A1,1936
Curtiss AT-32A Condor II,0,USA,A1,1936
Fokker F.XII,2,France,A1,1936
Fokker F.XII,0,France,A1,1936
Short S.17 Kent,2,Greece,A1,1936
DH.86A Express,3,U.K.,A1,1936
Junkers Ju-52/3mfe,,Germany,A1,1936
CANT Z.506,9,Libya,A1,1936
Boulton Paul P.71A,2,U.K.,A1,1936
A.W. AW.15 Atalanta,0,India,O1,1936
Douglas DC-2-118B,3,Guatemala,A1,1936
Junkers Ju-52/3mge,10,Germany,A1,1936
Junkers Ju-52/3mge,,Spain,C1,1936
Junkers Ju-52/3m,,Spain,C1,1936
Junkers Ju-52/3mge,4,Germany,A1,1936
Fokker F.XII,2,U.K.,A1,1936
Junkers Ju-52/3m,,Spain,C1,1936
Junkers Ju-52/3m,0,Germany,A1,1936
Junkers Ju-52/3m,6,France,A1,1936
Junkers Ju-52/3m,4,Spain,A1,1936
Douglas DC-2-115E,15,U.K.,A1,1936
Fokker F.XII,0,Spain,A1,1936
Douglas DC-2-112,0,USA,A1,1936
Douglas DC-2-118A,,China,A1,1936
Short S.8 Calcutta,0,Greece,O1,1936
Douglas DC-2-118B,,China,A2,1936
Curtiss AT-32C Condor II,,Peru,A1,1936
Junkers Ju-52/3m,,Spain,U1,1937
Ford 5-AT-C Tri-Motor,0,USA,O1,1937
Sabca Savoia-Marchetti S.73P,12,Algeria,A1,1937
Douglas DC-3A-197,11,USA,A1,1937
Junkers Ju-52/3m,,Spain,C1,1937
Douglas DC-2-112,0,USA,A1,1937
Junkers Ju-52/3m,,Spain,C1,1937
DH.86 Express,3,Germany,A1,1937
Short S.23 Empire Flying Boat Mk I,5,France,A1,1937
Douglas DC-2-112,13,USA,A1,1937
Douglas DC-2-115B,,Spain,A1,1937
Douglas DC-2-115B,,,U1,1937
Ford 5-AT-C Tri-Motor,0,USA,A1,1937
Douglas DC-3-194B,8,USA,A1,1937
Douglas DC-2-115M,0,Spain,C1,1937
Junkers Ju-52/3mg3e,,Germany,A1,1937
Douglas C-33 (DC-2),0,USA,A1,1937
Ford 4-AT-B Tri-Motor,0,USA,A1,1937
Handley Page HP.42E,0,Pakistan,O1,1937
Sikorsky S-43,9,Chile,A1,1937
Junkers Ju-52/3msai,1,South Africa,A1,1937
Junkers Ju-52/3m,,Spain,A1,1937
Douglas DC-2-115L,15,Belgium,A1,1937
Junkers Ju-52/3m,,China,A1,1937
Sikorsky S-43B,14,Panama,A1,1937
Savoia-Marchetti S.73,9,Sudan,A1,1937
Douglas DC-2-152,6,Romania,A1,1937
Sikorsky S-43W,3,China,A1,1937
Douglas DC-2-112,4,USA,A1,1937
Junkers Ju-52/3m,,Spain,U1,1937
Ford 5-AT-C Tri-Motor,0,USA,A1,1937
Douglas DC-2-118A,3,Argentina,A1,1937
Junkers Ju-52/3m,,Spain,C1,1937
Curtiss T-32C Condor II,0,USA,O1,1937
Curtiss AT-32B Condor II,0,USA,O1,1937
Curtiss AT-32D Condor II,0,USA,O1,1937
Ford 5-AT-B Tri-Motor,,Nicaragua,A1,1937
Short S.23 Empire Flying Boat Mk I,3,Greece,A1,1937
Douglas DC-3-194B,4,Indonesia,A1,1937
Junkers Ju-52/3m,,Spain,U1,1937
Douglas DC-3A-197,19,USA,A1,1937
Junkers Ju-52/3m,,Germany,A1,1937
Dewoitine D.333,6,Morocco,A1,1937
Junkers Ju-52/3mge,11,Belgium,A1,1937
Douglas DC-2-115D,6,Bulgaria,A1,1937
Junkers Ju-52/3mfe,3,U.K.,A1,1937
Junkers Ju-52/3mge,,Germany,A1,1937
Junkers Ju-52/3mte,1,Germany,A1,1937
Short S.23 Empire Flying Boat Mk I,2,Italy,A1,1937
Potez 621,2,France,A1,1937
Junkers Ju-52/3mce,8,Bolivia,A1,1937
Junkers Ju-52/3mte,6,Germany,A1,1938
Lockheed 14-H Super Electra,10,USA,A1,1938
Sikorsky S-42B,7,Pacific Ocean,A1,1938
Junkers Ju-52/3m,,Spain,A1,1938
Consolidated PBY-2 Catalina,3,USA,A1,1938
Consolidated PBY-2 Catalina,7,USA,A1,1938
Junkers Ju-90V1,1,Germany,A1,1938
Lior̩-et-Olivier H.242/1,7,France,A1,1938
CANT Z.506,14,Mediterranean Sea,A1,1938
Junkers Ju-52/3mge,3,France,A1,1938
Fokker F.XX,,Spain,U1,1938
Douglas DC-2-112,9,USA,A1,1938
Potez 62,7,India,A1,1938
Tupolev G-2,0,Russia,A1,1938
Dewoitine D.338,8,France,A1,1938
WM Fokker F.VIIIb,,Hungary,A1,1938
Junkers Ju-52/3m,0,Italy,A1,1938
Sikorsky S-43B,0,Jamaica,A1,1938
Savoia-Marchetti S.73,19,Italy,A1,1938
Ford 5-AT-C Tri-Motor,0,Chile,A1,1938
Ford 5-AT-DS Tri-Motor,0,Colombia,A1,1938
Lockheed 14-H2 Super Electra,9,USA,A1,1938
Curtiss T-32C Condor II,,Chile,A1,1938
Junkers Ju-52/3mge,6,Brazil,A1,1938
Douglas DST-A-207A (DC-3),10,USA,A1,1938
Douglas DC-2-118A,4,Chile,A1,1938
Junkers Ju-52/3mge,7,Peru,A1,1938
Curtiss YC-30 Condor II,0,USA,A1,1938
Lockheed 14-H Super Electra,1,USA,A1,1938
Savoia-Marchetti S-66,20,Mediterranean Sea,A1,1938
Douglas DC-3-228,1,Argentina,A1,1938
Junkers Ju-52/3mge,,China,A1,1938
Lockheed 14-H Super Electra,14,Romania,A1,1938
A.W. AW.15 Atalanta,4,Kenya,A1,1938
Martin M-130,15,Pacific Ocean,A1,1938
WM Fokker F.VIIIb,12,Hungary,A1,1938
Ford 5-AT-C Tri-Motor,0,USA,O1,1938
Savoia-Marchetti S.73,17,Germany,A1,1938
Junkers Ju-52/3mfe,9,Brazil,A1,1938
Lockheed 14-H Super Electra,0,Romania,A1,1938
Macchi M.C.94-II,13,Italy,A1,1938
Junkers Ju-52/3m,,Spain,A1,1938
Douglas DC-2-221,14,China,C2,1938
Ford 5-AT-D Tri-Motor,0,USA,A1,1938
CANT Z.506C,,Spain,A1,1938
Short Sunderland I,2,U.K.,A1,1938
Junkers Ju-52/3m,1,Germany,A1,1938
Junkers Ju-52/3mte,13,Switzerland,A1,1938
Junkers G.24,0,Brazil,A1,1938
Sabca Savoia-Marchetti S.73P,20,Germany,A1,1938
Douglas DC-2-112,0,USA,A1,1938
Ford 4-AT-B Tri-Motor,1,USA,A1,1938
Douglas DC-2-210,18,Australia,A1,1938
DH.86 Express,14,U.K.,A1,1938
Douglas DC-3,,Japan,A1,1938
Douglas DC-3-194D,6,Netherlands,A1,1938
Consolidated PBY-2 Catalina,2,USA,A1,1938
Lockheed 14-H2 Super Electra,2,Canada,A1,1938
Lockheed 14-WF62 Super Electra,2,U.K.,A1,1938
Savoia-Marchetti SM-75C,4,Austria,A1,1938
Junkers Ju-52/3m,4,Germany,A1,1938
Junkers Ju-90V2,12,Gambia,A1,1938
Short S.23 Empire Flying Boat Mk I,4,Iraq,A1,1938
Douglas DC-3A-191,5,USA,A1,1938
Junkers Ju-52/3mte,0,Austria,A1,1938
DH.86 Express,,Thailand,U1,1938
Focke-Wulf Fw 200,0,Philippines,A1,1938
Nakajima/Douglas DC-2,10,Japan,A1,1938
Lockheed 14-WF62 Super Electra,4,Netherlands,A1,1938
Lockheed 14-WG3B Super Electra,,China,A1,1938
Junkers Ju-52/3mge,0,Ecuador,A1,1938
Douglas DC-2-115B,5,France,A1,1939
Lockheed 14-H Super Electra,4,USA,A1,1939
Junkers Ju-52/3mge,10,Brazil,A1,1939
Fokker F.XVIII,0,Israel,A1,1939
Ford 5-AT-.  Tri-Motor,4,Colombia,A1,1939
Lockheed 14-H Super Electra,4,Australia,A1,1939
Short S.23 Empire Flying Boat Mk II,3,Atlantic Ocean,A1,1939
Junkers Ju-52/3m,5,France,A1,1939
Potez 62,6,Germany,A1,1939
Fokker F.XVIII,,Spain,O1,1939
Junkers Ju-52/3m,,Spain,A1,1939
Sikorsky S-42A,0,Puerto Rico,A2,1939
Junkers Ju-52/3mge,12,France,A1,1939
Ford 6-AT-AS Tri-Motor,0,Canada,O1,1939
Junkers Ju-52/3m,,Spain,A1,1939
Junkers Ju-52/3mge,4,China,A1,1939
Short S.23 Empire Flying Boat Mk I,0,Indonesia,A1,1939
Junkers Ju-52/3mge,3,Belgium,A1,1939
Boeing S.307 Stratoliner,10,USA,A1,1939
Douglas DC-2-112,8,USA,A1,1939
Junkers Ju-52/3mge,,Spain,A1,1939
Lockheed 14-WG3B Super Electra,,Japan,A1,1939
Ford 5-AT-B Tri-Motor,0,Honduras,O1,1939
Ford 5-AT-C Tri-Motor,2,Colombia,A1,1939
Junkers Ju-52/3m,,Germany,A1,1939
Junkers Ju-52/3m,5,Germany,A1,1939
Fokker F.VIII,0,Venezuela,A1,1939
Short S.23 Empire Flying Boat Mk I,2,Mozambique,A1,1939
Dewoitine D.338,9,Morocco,A1,1939
Consolidated PBY-4 Catalina,,USA,A1,1939
Junkers Ju-52/3m,0,China,C1,1939
Lockheed 14-WG3B Super Electra,6,Japan,A1,1939
Douglas DC-2-192,0,China,C1,1939
A.W. AW.15 Atalanta,,Egypt,A1,1939
Short Sunderland I,4,Singapore,A1,1939
Douglas DC-2-115E,1,Netherlands,A2,1939
Short S.23 Empire Flying Boat Mk I,0,India,A1,1939
Short S.30 Empire Flying Boat,0,Atlantic Ocean,O1,1939
DH.86A Express,0,U.K.,A1,1939
Junkers Ju-52/3mte,0,Myanmar,U1,1939
Junkers Ju-52/3mte,7,Spain,A1,1939
Lockheed 14-WF62 Super Electra,0,France,A1,1939
Sikorsky S-43B,14,Brazil,A1,1939
Savoia-Marchetti SM-75,,Italy,A1,1939
Junkers F.24kay (G.24),2,Germany,A1,1939
Junkers Ju-52/3mte,7,Germany,A1,1939
Junkers Ju-52/3m,4,Germany,A1,1939
Vickers Valentia,0,U.K.,A1,1939
Junkers Ju-52/3m,9,Germany,C1,1939
Short Sunderland I,0,U.K.,A1,1939
Junkers Ju-52/3m,,Germany,A1,1939
Short Sunderland I,10,U.K.,A1,1939
Junkers Ju-52/3m,13,Germany,A1,1939
Junkers Ju-52/3m,,Poland,C1,1939
Douglas DC-2-210,0,Australia,A2,1939
Junkers Ju-52/3mg4c,7,Germany,A1,1939
Junkers Ju-52/3m,,Germany,A1,1939
Short Sunderland I,0,U.K.,A1,1939
Caproni Ca.133,0,Djibouti,A1,1939
Short Sunderland I,4,U.K.,A1,1939
Savoia-Marchetti S.73,15,Spain,A1,1939
Handley Page HP.42W,0,U.K.,A1,1939
Junkers Ju-52/3m,7,Spain,A1,1939
Junkers Ju-52/3mge,0,Argentina,A2,1939
Junkers Ju-52/3m,10,Morocco,A1,1939
Junkers Ju-52/3mlu,5,Germany,A1,1939
Junkers Ju-52/3m,10,Gibraltar,A1,1939
Lockheed 14-WF62 Super Electra,5,Mediterranean Sea,A1,1939
Lockheed 14-WF62 Super Electra,0,U.K.,A1,1940
Lockheed 14-WF62 Super Electra,8,Indonesia,A1,1940
Ford 4-AT-E Tri-Motor,0,Canada,A1,1940
Nakajima/Douglas DC-2,0,Japan,A1,1940
Savoia-Marchetti SM-75,10,Italy,A1,1940
Ford 5-AT-.  Tri-Motor,0,Nicaragua,A1,1940
Ford 5-AT-C Tri-Motor,,Costa Rica,A1,1940
Handley Page HP.42E,8,Indian Ocean,A1,1940
Bloch 220,3,France,A1,1940
Ford 5-AT-B Tri-Motor,0,Mexico,A1,1940
DH.86B Express,,P.N. Guinea,A1,1940
Savoia-Marchetti S.73,14,Italy,A1,1940
Handley Page HP.42W,0,U.K.,O1,1940
Handley Page HP.42W,0,U.K.,O1,1940
Douglas DC-2-112,0,USA,A1,1940
Junkers Ju-52/3m,9,France,A1,1940
Short Sunderland,9,Norway,C1,1940
Junkers Ju-52/3m,8,Denmark,A1,1940
Junkers Ju-52/3m,1,Norway,C1,1940
Junkers Ju-52/3m,2,Germany,A1,1940
Junkers Ju-52/3m,0,Germany,A1,1940
Junkers Ju-52/3m,3,Denmark,A2,1940
Junkers Ju-52/3mg4e,0,Norway,A1,1940
Junkers Ju-52/3mg4e,0,Norway,A1,1940
Junkers Ju-52/3m,,Norway,C1,1940
Junkers Ju-52/3m,,Norway,A1,1940
Junkers Ju-52/3mg4e,,Norway,A1,1940
Junkers Ju-52/3m,1,Norway,C1,1940
Junkers Ju-52/3m,,Norway,A1,1940
Junkers Ju-52/3m,3,Norway,C1,1940
Junkers Ju-52/3m,,Norway,A1,1940
Junkers Ju-52/3m,0,Norway,A1,1940
Junkers Ju-52/3m,0,Norway,A1,1940
Junkers Ju-52/3mg4e,,Sweden,A2,1940
Junkers Ju-52/3m,3,Sweden,A1,1940
Junkers Ju-52/3mg4e,4,Norway,A1,1940
Junkers Ju-52/3mg3e,0,Sweden,A2,1940
Junkers Ju-52/3m,0,Sweden,A1,1940
Junkers Ju-52/3m,17,Norway,A1,1940
Junkers Ju-52/3m,17,Norway,A1,1940
Junkers Ju-52/3m,,Sweden,A2,1940
Lockheed 14-WF62 Super Electra,3,U.K.,A1,1940
Junkers Ju-52/3m,0,Norway,A1,1940
DH.86B Express,0,Finland,A1,1940
Junkers Ju-52/3m,,Netherlands,A1,1940
Junkers Ju-52/3m,,Netherlands,A1,1940
Junkers Ju-52/3m,,Netherlands,A1,1940
Junkers Ju-52/3m,,Netherlands,A1,1940
Junkers Ju-52/3m,,Netherlands,A1,1940
Junkers Ju-52/3m,,Netherlands,A1,1940
